Postcode,Lat,Lon,Average Price
BD234RD,54.017293,-2.258131,130000.0
BD128PN,53.745776,-1.765380,57500.0
BD100SQ,53.845114,-1.740812,167000.0
BD63RY,53.765092,-1.800815,66000.0
BD227RG,53.846759,-1.953091,148500.0
BD46AT,53.766557,-1.731556,50000.0
BD211AZ,53.856401,-1.915742,77450.0
BD96AQ,53.807495,-1.805170,90000.0
BD63RL,53.761094,-1.791354,83000.0
BD211AP,53.858037,-1.915952,95000.0
BD206PU,53.893953,-1.950893,183000.0
BD87LE,53.806385,-1.766773,150000.0
BD109RA,53.834820,-1.727337,90000.0
BD109RL,53.836018,-1.728210,174995.0
BD22BP,53.818192,-1.719273,88000.0
BD109RU,53.837809,-1.725570,121000.0
BD132RR,53.772542,-1.817029,41000.0
BD109RQ,53.835796,-1.729412,110950.0
BD206PN,53.893550,-1.952735,163500.0
BD208BL,53.898520,-1.993347,225000.0
BD161TL,53.829079,-1.831338,86500.0
BD181HZ,53.829968,-1.757071,55000.0
BD208BP,53.897181,-1.995341,247450.0
BD100LP,53.835417,-1.709555,125000.0
BD194DU,53.740697,-1.715240,117000.0
BD194DT,53.741697,-1.716006,240000.0
BD205UU,53.876313,-1.846968,157000.0
BD194RP,53.725186,-1.687215,102500.0
BD24HR,53.812540,-1.739646,145000.0
BD30ND,53.806396,-1.749858,87495.0
BD196JL,53.720550,-1.732469,80000.0
BD194RB,53.727578,-1.680741,65000.0
BD63DT,53.771249,-1.795642,78000.0
BD63DX,53.769437,-1.792480,103000.0
BD176JB,53.851523,-1.758390,125000.0
BD24HH,53.815673,-1.738017,85000.0
BD232DN,53.959195,-2.015681,142500.0
BD175BE,53.845852,-1.791997,273000.0
BD24QX,53.807090,-1.730234,57000.0
BD232DJ,53.958530,-2.015116,125000.0
BD183LN,53.835113,-1.787978,118500.0
BD183LH,53.837409,-1.790336,133000.0
BD39EP,53.798092,-1.729685,92500.0
BD111EU,53.755343,-1.661315,151250.0
BD80JS,53.796128,-1.800957,87000.0
BD177RL,53.852848,-1.742846,250000.0
BD231LU,53.968873,-2.027834,630000.0
BD231LT,53.968622,-2.025638,330000.0
BD209JZ,53.915133,-1.940136,175000.0
BD100DB,53.829340,-1.708959,86000.0
BD183LX,53.839426,-1.787317,92500.0
BD184BD,53.835863,-1.811693,170000.0
BD108PA,53.839698,-1.729980,131300.0
BD22HB,53.818901,-1.726422,120500.0
BD175TB,53.845624,-1.784900,250000.0
BD200ES,53.912633,-1.937155,99615.0
BD205BT,53.879846,-1.888163,333000.0
BD208UA,53.896251,-1.969989,74000.0
BD74LJ,53.773300,-1.796331,165000.0
BD62LT,53.760871,-1.786759,125000.0
BD209LD,53.915241,-1.941125,129950.0
BD207RU,53.901296,-1.984184,101000.0
BD37DG,53.804157,-1.702315,125000.0
BD37DH,53.803313,-1.702594,105000.0
BD226BY,53.862423,-1.929932,90000.0
BD176UE,53.854885,-1.754129,165000.0
BD176UF,53.854552,-1.753614,149975.0
BD72QQ,53.792652,-1.797193,55000.0
BD211LN,53.859147,-1.923096,70600.0
BD112DH,53.754505,-1.694217,115000.0
BD96JA,53.814451,-1.804773,80000.0
BD96JN,53.813052,-1.806709,80000.0
BD72EL,53.788803,-1.785433,75000.0
BD96JS,53.812959,-1.810081,80000.0
BD211LZ,53.856270,-1.922189,82500.0
BD205LB,53.873671,-1.870460,110000.0
BD48PU,53.786599,-1.715188,43000.0
BD212RA,53.868456,-1.918881,75000.0
BD249NB,54.080564,-2.274726,210000.0
BD211EW,53.859229,-1.911799,43000.0
BD211EX,53.859419,-1.913592,62500.0
BD212RL,53.870184,-1.923592,55000.0
BD59NN,53.774511,-1.761275,83000.0
BD96EY,53.814934,-1.814476,84500.0
BD96ET,53.813280,-1.814316,67000.0
BD231AZ,53.964589,-2.007330,190000.0
BD73DA,53.782637,-1.780138,40000.0
BD61SR,53.762108,-1.775391,145000.0
BD229AX,53.837283,-1.929837,83000.0
BD21BP,53.819823,-1.758497,61000.0
BD63JN,53.774088,-1.784355,46250.0
BD227LU,53.849736,-1.937219,115000.0
BD161HQ,53.845498,-1.836486,104950.0
BD181LT,53.830971,-1.750836,155000.0
BD63JA,53.770492,-1.788925,118000.0
BD233RN,53.984766,-2.104352,124500.0
BD74QY,53.776892,-1.794765,124500.0
BD229RS,53.817353,-1.960445,170300.0
BD227LN,53.853319,-1.931665,95000.0
BD74QS,53.777226,-1.795416,85000.0
BD22BL,53.817349,-1.719917,195000.0
BD249NE,54.080736,-2.274360,275000.0
BD111JD,53.751017,-1.660455,78000.0
BD111JH,53.749695,-1.663378,102500.0
BD234DA,54.061135,-2.153125,240000.0
BD133SH,53.792614,-1.875157,158000.0
BD162SG,53.857954,-1.842458,170000.0
BD58QJ,53.772312,-1.745204,85000.0
BD206NT,53.894294,-1.949006,125000.0
BD234DW,54.005555,-2.222509,152000.0
BD133SY,53.788719,-1.863481,105500.0
BD133SX,53.785764,-1.865691,430000.0
BD231HS,53.962252,-2.010225,196725.0
BD23PA,53.811551,-1.715779,66000.0
BD176NH,53.850101,-1.766378,249950.0
BD111AR,53.756946,-1.665853,120500.0
BD120JT,53.753067,-1.752707,110000.0
BD127BU,53.749234,-1.742357,80000.0
BD231HG,53.962477,-2.004723,150000.0
BD233LP,53.954600,-2.142174,60000.0
BD132HB,53.766676,-1.851901,44950.0
BD62ET,53.759503,-1.796458,53000.0
BD150NH,53.821453,-1.863345,125000.0
BD112AG,53.754274,-1.695266,160000.0
BD200AS,53.913076,-1.942879,110000.0
BD214NN,53.867208,-1.887451,55000.0
BD47SB,53.775414,-1.728980,38250.0
BD200AF,53.913730,-1.938250,104000.0
BD72LQ,53.785314,-1.789412,99998.33333333333
BD112AX,53.759067,-1.696156,70000.0
BD74HS,53.774654,-1.789299,91000.0
BD209HY,53.934247,-2.002069,320000.0
BD164PG,53.848025,-1.824757,132000.0
BD227QR,53.844071,-1.951863,140000.0
BD112NB,53.746505,-1.690439,100000.0
BD184AU,53.830345,-1.812356,280000.0
BD231TL,53.958849,-2.038983,101500.0
BD100RW,53.845559,-1.730276,108000.0
BD100RT,53.844591,-1.735648,99750.0
BD100RU,53.844189,-1.737003,150000.0
